title,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Punjab Kings VS Gujarat Titans,Kagiso Rabada,4,0,36,1,9.00,11,5,1,0,0
Punjab Kings VS Gujarat Titans,Harpreet Brar,4,0,20,1,5.00,8,1,0,0,0
Punjab Kings VS Gujarat Titans,Sam Curran,3.5,0,25,1,6.52,7,2,0,0,0
Punjab Kings VS Gujarat Titans,Rahul Chahar,3,0,24,0,8.00,4,3,0,0,0
Punjab Kings VS Gujarat Titans,Matthew Short,1,0,8,0,8.00,1,1,0,0,0
Rajasthan Royals VS Chennai Super Kings,Akash Singh,4,0,40,2,10.00,7,2,3,1,0
Rajasthan Royals VS Chennai Super Kings,Tushar Deshpande,4,0,37,2,9.25,7,4,1,1,0
Rajasthan Royals VS Chennai Super Kings,Maheesh Theekshana,4,0,42,0,10.50,4,5,1,0,0
Rajasthan Royals VS Chennai Super Kings,Ravindra Jadeja,4,0,21,2,5.25,11,0,0,3,0
Rajasthan Royals VS Chennai Super Kings,Moeen Ali,2,0,21,1,10.50,3,0,2,0,0
Rajasthan Royals VS Chennai Super Kings,Sisanda Magala,2,0,14,0,7.00,2,0,0,1,0
Rajasthan Royals VS Chennai Super Kings,Sandeep Sharma,3,0,30,1,10.00,6,1,2,2,0
Rajasthan Royals VS Chennai Super Kings,Kuldeep Sen,2,0,8,0,4.00,4,0,0,0,0
Rajasthan Royals VS Chennai Super Kings,Jason Holder,3,0,37,0,12.33,4,4,2,1,0
Rajasthan Royals VS Chennai Super Kings,Adam Zampa,4,0,43,1,10.75,5,4,1,1,0
Rajasthan Royals VS Chennai Super Kings,Ravichandran Ashwin,4,0,25,2,6.25,10,1,1,2,0
Rajasthan Royals VS Chennai Super Kings,Yuzvendra Chahal,4,0,27,2,6.75,8,2,0,1,0
Delhi Capitals VS Mumbai Indians,Jason Behrendorff,3,0,23,3,7.66,8,1,2,0,0
Delhi Capitals VS Mumbai Indians,Arshad Khan,1,0,12,0,12.00,1,2,0,1,0
Delhi Capitals VS Mumbai Indians,Cameron Green,3,0,30,0,10.00,4,5,0,1,0
Delhi Capitals VS Mumbai Indians,Hrithik Shokeen,4,0,43,1,10.75,10,4,2,1,1
Delhi Capitals VS Mumbai Indians,Riley Meredith,3.4,0,34,2,9.27,10,5,1,0,1
Delhi Capitals VS Mumbai Indians,Piyush Chawla,4,0,22,3,5.50,9,2,0,0,0
Delhi Capitals VS Mumbai Indians,Tilak Varma,1,0,7,0,7.00,3,1,0,1,0
Delhi Capitals VS Mumbai Indians,Mukesh Kumar,2,0,30,2,15.00,6,3,3,0,0
Delhi Capitals VS Mumbai Indians,Mustafizur Rahman,4,0,38,1,9.50,11,5,2,0,0
Delhi Capitals VS Mumbai Indians,Anrich Nortje,4,0,35,0,8.75,8,2,2,0,0
Delhi Capitals VS Mumbai Indians,Lalit Yadav,4,0,23,0,5.75,10,1,1,1,0
Delhi Capitals VS Mumbai Indians,Axar Patel,4,0,20,0,5.00,12,2,0,1,0
Delhi Capitals VS Mumbai Indians,Kuldeep Yadav,2,0,23,0,11.50,2,1,2,0,0
Royal Challengers Bangalore VS Lucknow Super Giants,Jaydev Unadkat,2,0,27,0,13.50,3,2,2,1,0
Royal Challengers Bangalore VS Lucknow Super Giants,Avesh Khan,4,0,53,0,13.25,8,5,4,0,0
Royal Challengers Bangalore VS Lucknow Super Giants,Krunal Pandya,4,0,35,0,8.75,5,2,2,0,0
Royal Challengers Bangalore VS Lucknow Super Giants,Mark Wood,4,1,32,1,8.00,12,1,3,2,0
Royal Challengers Bangalore VS Lucknow Super Giants,Ravi Bishnoi,4,0,39,0,9.75,5,1,3,1,0
Royal Challengers Bangalore VS Lucknow Super Giants,Amit Mishra,2,0,18,1,9.00,2,1,1,0,0
Royal Challengers Bangalore VS Lucknow Super Giants,Mohammed Siraj,4,0,22,3,5.50,16,3,0,4,0
Royal Challengers Bangalore VS Lucknow Super Giants,David Willey,4,0,32,0,8.00,6,2,1,1,0
Royal Challengers Bangalore VS Lucknow Super Giants,Wayne Parnell,4,0,41,3,10.25,6,5,1,3,0
Royal Challengers Bangalore VS Lucknow Super Giants,Harshal Patel,4,0,48,2,12.00,5,4,3,0,0
Royal Challengers Bangalore VS Lucknow Super Giants,Karn Sharma,3,0,48,1,16.00,5,3,5,1,0
Royal Challengers Bangalore VS Lucknow Super Giants,Shahbaz Ahmed,1,0,15,0,15.00,1,0,2,0,0
Punjab Kings VS Sunrisers Hyderabad,Bhuvneshwar Kumar,4,0,33,1,8.25,13,6,0,3,0
Punjab Kings VS Sunrisers Hyderabad,Marco Jansen,3,1,16,2,5.33,14,2,1,1,0
Punjab Kings VS Sunrisers Hyderabad,T Natarajan,4,0,40,0,10.00,10,3,3,0,0
Punjab Kings VS Sunrisers Hyderabad,Washington Sundar,1,0,6,0,6.00,3,1,0,0,0
Punjab Kings VS Sunrisers Hyderabad,Mayank Markande,4,0,15,4,3.75,15,2,0,0,0
Punjab Kings VS Sunrisers Hyderabad,Umran Malik,4,0,32,2,8.00,14,3,2,1,0
Punjab Kings VS Sunrisers Hyderabad,Sam Curran,3,0,14,0,4.66,8,1,0,0,0
Punjab Kings VS Sunrisers Hyderabad,Arshdeep Singh,3,0,20,1,6.66,10,4,0,0,0
Punjab Kings VS Sunrisers Hyderabad,Harpreet Brar,3.1,0,26,0,8.21,8,5,0,0,0
Punjab Kings VS Sunrisers Hyderabad,Nathan Ellis,3,0,28,0,9.33,5,5,0,0,0
Punjab Kings VS Sunrisers Hyderabad,Rahul Chahar,3,0,28,1,9.33,8,4,1,0,0
Punjab Kings VS Sunrisers Hyderabad,Mohit Rathee,2,0,29,0,14.50,3,3,2,0,0
Gujarat Titans VS Kolkata Knight Riders,Umesh Yadav,3,0,24,0,8.00,7,4,0,1,0
Gujarat Titans VS Kolkata Knight Riders,Shardul Thakur,3,0,40,0,13.33,4,3,3,1,0
Gujarat Titans VS Kolkata Knight Riders,Lockie Ferguson,4,0,40,0,10.00,8,3,2,1,1
Gujarat Titans VS Kolkata Knight Riders,Sunil Narine,4,0,33,3,8.25,8,3,1,1,0
Gujarat Titans VS Kolkata Knight Riders,Varun Chakravarthy,2,0,27,0,13.50,1,2,1,1,0
Gujarat Titans VS Kolkata Knight Riders,Suyash Sharma,4,0,35,1,8.75,6,3,0,1,0
Gujarat Titans VS Kolkata Knight Riders,Mohammed Shami,4,0,28,1,7.00,10,2,1,0,0
Gujarat Titans VS Kolkata Knight Riders,Josh Little,4,0,45,1,11.25,9,4,3,3,0
Gujarat Titans VS Kolkata Knight Riders,Alzarri Joseph,4,0,27,2,6.75,14,2,2,0,0
Gujarat Titans VS Kolkata Knight Riders,Yash Dayal,4,0,69,0,17.25,4,3,8,0,0
Gujarat Titans VS Kolkata Knight Riders,Rashid Khan,4,0,37,3,9.25,6,4,1,0,0
Mumbai Indians VS Chennai Super Kings,Deepak Chahar,1,0,10,0,10.00,2,2,0,0,0
Mumbai Indians VS Chennai Super Kings,Tushar Deshpande,3,0,31,2,10.33,9,2,3,1,0
Mumbai Indians VS Chennai Super Kings,Sisanda Magala,4,0,37,1,9.25,4,5,0,0,0
Mumbai Indians VS Chennai Super Kings,Mitchell Santner,4,0,28,2,7.00,6,3,0,0,0
Mumbai Indians VS Chennai Super Kings,Ravindra Jadeja,4,0,20,3,5.00,9,0,1,0,0
Mumbai Indians VS Chennai Super Kings,Dwaine Pretorius,4,0,28,0,7.00,9,3,0,4,0
Mumbai Indians VS Chennai Super Kings,Jason Behrendorff,3,0,24,1,8.00,9,2,1,1,0
Mumbai Indians VS Chennai Super Kings,Arshad Khan,2.1,0,35,0,16.15,2,5,1,3,0
Mumbai Indians VS Chennai Super Kings,Cameron Green,3,0,20,0,6.66,6,0,1,1,0
Mumbai Indians VS Chennai Super Kings,Piyush Chawla,4,0,33,1,8.25,8,5,0,0,0
Mumbai Indians VS Chennai Super Kings,Kumar Kartikeya,4,0,24,1,6.00,6,0,1,0,0
Mumbai Indians VS Chennai Super Kings,Hrithik Shokeen,2,0,19,0,9.50,4,2,1,0,0
Rajasthan Royals VS Delhi Capitals,Khaleel Ahmed,2,0,31,0,15.50,3,6,0,2,0
Rajasthan Royals VS Delhi Capitals,Anrich Nortje,4,0,44,0,11.00,10,6,2,0,0
Rajasthan Royals VS Delhi Capitals,Mukesh Kumar,4,0,36,2,9.00,8,3,2,0,0
Rajasthan Royals VS Delhi Capitals,Axar Patel,4,0,38,0,9.50,6,5,1,0,0
Rajasthan Royals VS Delhi Capitals,Kuldeep Yadav,4,0,31,1,7.75,8,2,1,0,0
Rajasthan Royals VS Delhi Capitals,Rovman Powell,2,0,18,1,9.00,4,1,1,1,1
Rajasthan Royals VS Delhi Capitals,Trent Boult,4,1,29,3,7.25,11,5,0,0,0
Rajasthan Royals VS Delhi Capitals,Sandeep Sharma,4,0,20,1,5.00,11,2,0,1,0
Rajasthan Royals VS Delhi Capitals,Ravichandran Ashwin,4,0,25,2,6.25,10,2,0,3,0
Rajasthan Royals VS Delhi Capitals,Jason Holder,3,0,28,0,9.33,4,4,0,1,0
Rajasthan Royals VS Delhi Capitals,Yuzvendra Chahal,4,0,27,3,6.75,8,2,0,2,0
Rajasthan Royals VS Delhi Capitals,Murugan Ashwin,1,0,11,0,11.00,0,0,0,0,1
Sunrisers Hyderabad VS Lucknow Super Giants,Kyle Mayers,1,0,5,0,5.00,1,0,0,0,0
Sunrisers Hyderabad VS Lucknow Super Giants,Jaydev Unadkat,3,0,26,0,8.66,9,0,3,1,0
Sunrisers Hyderabad VS Lucknow Super Giants,Krunal Pandya,4,0,18,3,4.50,15,3,0,0,0
Sunrisers Hyderabad VS Lucknow Super Giants,Yash Thakur,3,0,23,1,7.66,6,3,0,0,0
Sunrisers Hyderabad VS Lucknow Super Giants,Ravi Bishnoi,4,0,16,1,4.00,10,0,0,1,0
Sunrisers Hyderabad VS Lucknow Super Giants,Deepak Hooda,1,0,8,0,8.00,1,1,0,0,0
Sunrisers Hyderabad VS Lucknow Super Giants,Amit Mishra,4,0,23,2,5.75,10,3,0,0,0
Sunrisers Hyderabad VS Lucknow Super Giants,Bhuvneshwar Kumar,2,0,19,1,9.50,7,1,1,1,0
Sunrisers Hyderabad VS Lucknow Super Giants,Washington Sundar,1,0,11,0,11.00,1,2,0,0,0
Sunrisers Hyderabad VS Lucknow Super Giants,Fazalhaq Farooqi,3,0,13,1,4.33,12,2,0,1,0
Sunrisers Hyderabad VS Lucknow Super Giants,Aiden Markram,2,0,14,0,7.00,5,2,0,0,0
Sunrisers Hyderabad VS Lucknow Super Giants,Adil Rashid,3,0,23,2,7.66,8,2,1,0,0
Sunrisers Hyderabad VS Lucknow Super Giants,T Natarajan,3,0,23,0,7.66,7,1,1,1,0
Sunrisers Hyderabad VS Lucknow Super Giants,Umran Malik,2,0,22,1,11.00,7,3,0,2,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Mohammed Siraj,4,0,44,1,11.00,13,6,1,3,1
Kolkata Knight Riders VS Royal Challengers Bangalore,David Willey,4,1,16,2,4.00,15,2,0,1,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Akash Deep,2,0,30,0,15.00,4,2,2,1,2
Kolkata Knight Riders VS Royal Challengers Bangalore,Michael Bracewell,3,0,34,1,11.33,3,1,3,0,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Shahbaz Ahmed,1,0,6,0,6.00,3,1,0,0,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Karn Sharma,3,0,26,2,8.66,6,2,1,0,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Harshal Patel,3,0,38,1,12.66,5,4,2,1,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Umesh Yadav,2,0,17,0,8.50,5,3,0,0,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Tim Southee,2,0,25,0,12.50,5,2,2,0,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Sunil Narine,4,0,16,2,4.00,12,1,0,0,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Varun Chakravarthy,3.4,0,15,4,4.09,13,2,0,0,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Suyash Sharma,4,0,30,3,7.50,11,2,2,1,0
Kolkata Knight Riders VS Royal Challengers Bangalore,Shardul Thakur,2,0,15,1,7.50,4,2,0,0,0
Punjab Kings VS Rajasthan Royals,Trent Boult,4,0,38,0,9.50,8,3,2,1,0
Punjab Kings VS Rajasthan Royals,KM Asif,4,0,54,0,13.50,7,5,3,3,1
Punjab Kings VS Rajasthan Royals,Ravichandran Ashwin,4,0,25,1,6.25,7,2,0,1,0
Punjab Kings VS Rajasthan Royals,Jason Holder,4,0,29,2,7.25,7,2,1,0,0
Punjab Kings VS Rajasthan Royals,Yuzvendra Chahal,4,0,50,1,12.50,5,7,1,1,0
Punjab Kings VS Rajasthan Royals,Sam Curran,4,0,44,0,11.00,7,3,3,0,0
Punjab Kings VS Rajasthan Royals,Arshdeep Singh,4,0,47,2,11.75,10,4,3,3,0
Punjab Kings VS Rajasthan Royals,Harpreet Brar,2,0,15,0,7.50,5,2,0,0,0
Punjab Kings VS Rajasthan Royals,Nathan Ellis,4,0,30,4,7.50,11,2,2,0,0
Punjab Kings VS Rajasthan Royals,Rahul Chahar,4,0,31,0,7.75,5,1,1,0,0
Punjab Kings VS Rajasthan Royals,Sikandar Raza,2,0,24,0,12.00,2,1,1,2,0
Delhi Capitals VS Gujarat Titans,Mohammed Shami,4,0,41,3,10.25,15,5,1,4,0
Delhi Capitals VS Gujarat Titans,Josh Little,4,0,27,0,6.75,11,2,1,0,0
Delhi Capitals VS Gujarat Titans,Hardik Pandya,3,0,18,0,6.00,6,2,0,0,0
Delhi Capitals VS Gujarat Titans,Alzarri Joseph,4,0,29,2,7.25,13,3,1,1,0
Delhi Capitals VS Gujarat Titans,Yash Dayal,1,0,12,0,12.00,0,0,1,0,0
Delhi Capitals VS Gujarat Titans,Rashid Khan,4,0,31,3,7.75,9,2,2,0,0
Delhi Capitals VS Gujarat Titans,Khaleel Ahmed,4,0,38,1,9.50,9,5,1,1,0
Delhi Capitals VS Gujarat Titans,Mukesh Kumar,4,0,42,0,10.50,8,5,2,1,0
Delhi Capitals VS Gujarat Titans,Anrich Nortje,4,0,39,2,9.75,9,3,2,0,2
Delhi Capitals VS Gujarat Titans,Mitchell Marsh,3.1,0,24,1,7.57,4,1,0,1,0
Delhi Capitals VS Gujarat Titans,Kuldeep Yadav,3,0,18,0,6.00,5,1,0,1,0
Chennai Super Kings VS Lucknow Super Giants,Kyle Mayers,2,0,16,0,8.00,1,1,0,1,0
Chennai Super Kings VS Lucknow Super Giants,Avesh Khan,3,0,39,1,13.00,4,6,0,1,0
Chennai Super Kings VS Lucknow Super Giants,Krunal Pandya,2,0,21,0,10.50,4,1,2,0,0
Chennai Super Kings VS Lucknow Super Giants,Krishnappa Gowtham,1,0,20,0,20.00,2,0,3,0,0
Chennai Super Kings VS Lucknow Super Giants,Mark Wood,4,0,49,3,12.25,9,3,5,0,0
Chennai Super Kings VS Lucknow Super Giants,Yash Thakur,4,0,36,0,9.00,4,3,1,0,1
Chennai Super Kings VS Lucknow Super Giants,Ravi Bishnoi,4,0,28,3,7.00,13,1,2,1,0
Chennai Super Kings VS Lucknow Super Giants,Deepak Chahar,4,0,55,0,13.75,6,7,1,5,0
Chennai Super Kings VS Lucknow Super Giants,Ben Stokes,1,0,18,0,18.00,0,2,1,0,0
Chennai Super Kings VS Lucknow Super Giants,Tushar Deshpande,4,0,45,2,11.25,7,2,2,4,3
Chennai Super Kings VS Lucknow Super Giants,Moeen Ali,4,0,26,4,6.50,10,0,1,1,0
Chennai Super Kings VS Lucknow Super Giants,Mitchell Santner,4,0,21,1,5.25,9,0,1,0,0
Chennai Super Kings VS Lucknow Super Giants,Rajvardhan Hangargekar,2,0,24,0,12.00,4,2,1,3,0
Chennai Super Kings VS Lucknow Super Giants,Ravindra Jadeja,1,0,14,0,14.00,2,0,2,0,0
Mumbai Indians VS Royal Challengers Bangalore,Mohammed Siraj,4,0,21,1,5.25,16,2,0,6,0
Mumbai Indians VS Royal Challengers Bangalore,Reece Topley,2,0,14,1,7.00,7,3,0,0,0
Mumbai Indians VS Royal Challengers Bangalore,Akash Deep,3,0,29,1,9.66,7,2,2,0,0
Mumbai Indians VS Royal Challengers Bangalore,Harshal Patel,4,0,43,1,10.75,6,3,2,1,1
Mumbai Indians VS Royal Challengers Bangalore,Karn Sharma,4,0,32,2,8.00,7,1,2,1,0
Mumbai Indians VS Royal Challengers Bangalore,Michael Bracewell,2,0,16,1,8.00,6,3,0,0,0
Mumbai Indians VS Royal Challengers Bangalore,Glenn Maxwell,1,0,16,0,16.00,0,1,1,1,0
Mumbai Indians VS Royal Challengers Bangalore,Jason Behrendorff,3,0,37,0,12.33,6,3,3,0,0
Mumbai Indians VS Royal Challengers Bangalore,Arshad Khan,2.2,0,28,1,12.00,7,2,2,4,0
Mumbai Indians VS Royal Challengers Bangalore,Jofra Archer,4,0,33,0,8.25,10,2,2,0,0
Mumbai Indians VS Royal Challengers Bangalore,Piyush Chawla,4,0,26,0,6.50,11,2,1,0,0
Mumbai Indians VS Royal Challengers Bangalore,Cameron Green,2,0,30,1,15.00,4,2,3,0,0
Mumbai Indians VS Royal Challengers Bangalore,Hrithik Shokeen,1,0,17,0,17.00,0,0,2,0,0
Rajasthan Royals VS Sunrisers Hyderabad,Bhuvneshwar Kumar,3,0,36,0,12.00,6,4,2,1,0
Rajasthan Royals VS Sunrisers Hyderabad,Fazalhaq Farooqi,4,0,41,2,10.25,11,7,0,0,0
Rajasthan Royals VS Sunrisers Hyderabad,Washington Sundar,3,0,32,0,10.66,5,1,3,0,0
Rajasthan Royals VS Sunrisers Hyderabad,T Natarajan,3,0,23,2,7.66,7,4,0,0,0
Rajasthan Royals VS Sunrisers Hyderabad,Adil Rashid,4,0,33,0,8.25,6,1,2,0,0
Rajasthan Royals VS Sunrisers Hyderabad,Umran Malik,3,0,32,1,10.66,4,4,1,1,0
Rajasthan Royals VS Sunrisers Hyderabad,Trent Boult,4,1,21,2,5.25,15,2,1,0,0
Rajasthan Royals VS Sunrisers Hyderabad,KM Asif,3,0,15,0,5.00,9,1,0,1,0
Rajasthan Royals VS Sunrisers Hyderabad,Jason Holder,3,0,16,1,5.33,10,1,1,0,0
Rajasthan Royals VS Sunrisers Hyderabad,Ravichandran Ashwin,4,0,27,1,6.75,10,1,1,2,0
Rajasthan Royals VS Sunrisers Hyderabad,Yuzvendra Chahal,4,0,17,4,4.25,11,0,0,0,0
Rajasthan Royals VS Sunrisers Hyderabad,Navdeep Saini,2,0,34,0,17.00,3,3,2,0,3
Lucknow Super Giants VS Delhi Capitals,Khaleel Ahmed,4,0,30,2,7.50,15,3,2,1,0
Lucknow Super Giants VS Delhi Capitals,Mukesh Kumar,4,0,34,0,8.50,5,0,2,1,0
Lucknow Super Giants VS Delhi Capitals,Chetan Sakariya,4,0,53,2,13.25,8,1,6,3,0
Lucknow Super Giants VS Delhi Capitals,Axar Patel,4,0,38,1,9.50,8,1,3,0,0
Lucknow Super Giants VS Delhi Capitals,Kuldeep Yadav,4,0,35,1,8.75,7,0,3,0,0
Lucknow Super Giants VS Delhi Capitals,Kyle Mayers,1,0,7,0,7.00,3,1,0,1,0
Lucknow Super Giants VS Delhi Capitals,Jaydev Unadkat,3,0,39,0,13.00,3,5,0,2,0
Lucknow Super Giants VS Delhi Capitals,Krishnappa Gowtham,4,0,23,0,5.75,9,2,0,1,0
Lucknow Super Giants VS Delhi Capitals,Avesh Khan,4,0,29,2,7.25,12,3,1,0,0
Lucknow Super Giants VS Delhi Capitals,Mark Wood,4,0,14,5,3.50,17,1,0,1,1
Lucknow Super Giants VS Delhi Capitals,Ravi Bishnoi,4,0,31,2,7.75,8,3,1,0,0
Punjab Kings VS Kolkata Knight Riders,Umesh Yadav,4,0,27,1,6.75,11,2,1,0,0
Punjab Kings VS Kolkata Knight Riders,Tim Southee,4,0,54,2,13.50,7,6,3,0,0
Punjab Kings VS Kolkata Knight Riders,Sunil Narine,4,0,40,1,10.00,8,3,2,1,0
Punjab Kings VS Kolkata Knight Riders,Varun Chakravarthy,4,0,26,1,6.50,10,2,1,1,0
Punjab Kings VS Kolkata Knight Riders,Shardul Thakur,4,0,43,0,10.75,7,4,2,0,1
Punjab Kings VS Kolkata Knight Riders,Sam Curran,3,0,38,1,12.66,4,3,3,0,0
Punjab Kings VS Kolkata Knight Riders,Arshdeep Singh,3,0,19,3,6.33,10,2,1,0,0
Punjab Kings VS Kolkata Knight Riders,Nathan Ellis,3,0,27,1,9.00,8,2,1,0,2
Punjab Kings VS Kolkata Knight Riders,Sikandar Raza,3,0,25,1,8.33,5,3,0,1,0
Punjab Kings VS Kolkata Knight Riders,Rishi Dhawan,1,0,15,0,15.00,2,2,1,0,0
Punjab Kings VS Kolkata Knight Riders,Rahul Chahar,2,0,12,1,6.00,5,0,1,0,0
Punjab Kings VS Kolkata Knight Riders,Harpreet Brar,1,0,7,0,7.00,3,1,0,0,0
Chennai Super Kings VS Gujarat Titans,Mohammed Shami,4,0,29,2,7.25,13,2,2,0,1
Chennai Super Kings VS Gujarat Titans,Hardik Pandya,3,0,28,0,9.33,6,2,2,0,0
Chennai Super Kings VS Gujarat Titans,Josh Little,4,0,41,1,10.25,10,4,3,0,0
Chennai Super Kings VS Gujarat Titans,Rashid Khan,4,0,26,2,6.50,10,2,1,0,0
Chennai Super Kings VS Gujarat Titans,Alzarri Joseph,4,0,33,2,8.25,8,0,3,0,0
Chennai Super Kings VS Gujarat Titans,Yash Dayal,1,0,14,0,14.00,2,0,2,0,0
Chennai Super Kings VS Gujarat Titans,Deepak Chahar,4,0,29,0,7.25,9,1,2,0,0
Chennai Super Kings VS Gujarat Titans,Tushar Deshpande,3.2,0,51,1,15.30,5,4,4,1,1
Chennai Super Kings VS Gujarat Titans,Rajvardhan Hangargekar,4,0,36,3,9.00,10,4,1,3,1
Chennai Super Kings VS Gujarat Titans,Mitchell Santner,4,0,32,0,8.00,7,5,0,0,0
Chennai Super Kings VS Gujarat Titans,Ravindra Jadeja,4,0,28,1,7.00,9,1,1,0,0
