title,BATTING,dismissed,R,B,M,4s,6s,SR
Chennai Super Kings VS Kolkata Knight Riders,Devon Conway ,c Wiese b Varun,56,40,56,4,3,140.00
Chennai Super Kings VS Kolkata Knight Riders,Ajinkya Rahane ,not out ,71,29,70,6,5,244.82
Chennai Super Kings VS Kolkata Knight Riders,Shivam Dube ,c Roy b Khejroliya,50,21,31,2,5,238.09
Chennai Super Kings VS Kolkata Knight Riders,Ravindra Jadeja ,c Singh b Khejroliya,18,8,13,0,2,225.00
Chennai Super Kings VS Kolkata Knight Riders,MS Dhoni (c)†,not out ,2,3,4,0,0,66.66
Chennai Super Kings VS Kolkata Knight Riders,Narayan Jagadeesan †,c Jadeja b Deshpande,1,3,9,0,0,33.33
Chennai Super Kings VS Kolkata Knight Riders,Sunil Narine , b Akash Singh,0,3,4,0,0,0.00
Chennai Super Kings VS Kolkata Knight Riders,Venkatesh Iyer ,lbw b Ali,20,20,35,2,1,100.00
Chennai Super Kings VS Kolkata Knight Riders,Nitish Rana (c),c Gaikwad b Jadeja,27,20,38,4,1,135.00
Chennai Super Kings VS Kolkata Knight Riders,Jason Roy , b Theekshana,61,26,35,5,5,234.61
Chennai Super Kings VS Kolkata Knight Riders,Rinku Singh ,not out ,53,33,62,3,4,160.60
Chennai Super Kings VS Kolkata Knight Riders,Andre Russell ,c Dube b Pathirana,9,6,14,0,1,150.00
Chennai Super Kings VS Kolkata Knight Riders,David Wiese ,lbw b Deshpande,1,2,6,0,0,50.00
Chennai Super Kings VS Kolkata Knight Riders,Umesh Yadav ,c Conway b Theekshana,4,4,8,0,0,100.00
Chennai Super Kings VS Kolkata Knight Riders,Varun Chakravarthy ,not out ,0,3,9,0,0,0.00
Royal Challengers Bangalore VS Rajasthan Royals,Virat Kohli (c),lbw b Boult,0,1,2,0,0,0.00
Royal Challengers Bangalore VS Rajasthan Royals,Faf du Plessis ,run out (Jaiswal),62,39,71,8,2,158.97
Royal Challengers Bangalore VS Rajasthan Royals,Shahbaz Ahmed ,c Jaiswal b Boult,2,4,10,0,0,50.00
Royal Challengers Bangalore VS Rajasthan Royals,Glenn Maxwell ,c Holder b Ashwin,77,44,66,6,4,175.00
Royal Challengers Bangalore VS Rajasthan Royals,Mahipal Lomror ,c Padikkal b Chahal,8,6,16,1,0,133.33
Royal Challengers Bangalore VS Rajasthan Royals,Dinesh Karthik †,c Buttler b Sandeep Sharma,16,13,28,2,0,123.07
Royal Challengers Bangalore VS Rajasthan Royals,Suyash Prabhudessai ,run out (Jaiswal/†Samson),0,2,5,0,0,0.00
Royal Challengers Bangalore VS Rajasthan Royals,Wanindu Hasaranga ,run out (†Samson/Sandeep Sharma),6,7,14,0,0,85.71
Royal Challengers Bangalore VS Rajasthan Royals,David Willey ,not out ,4,2,8,1,0,200.00
Royal Challengers Bangalore VS Rajasthan Royals,Vijaykumar Vyshak ,c Hetmyer b Sandeep Sharma,0,1,2,0,0,0.00
Royal Challengers Bangalore VS Rajasthan Royals,Yashasvi Jaiswal ,c Kohli b Patel,47,37,63,5,2,127.02
Royal Challengers Bangalore VS Rajasthan Royals,Jos Buttler , b Mohammed Siraj,0,2,4,0,0,0.00
Royal Challengers Bangalore VS Rajasthan Royals,Devdutt Padikkal ,c Kohli b Willey,52,34,48,7,1,152.94
Royal Challengers Bangalore VS Rajasthan Royals,Sanju Samson (c)†,c Shahbaz Ahmed b Patel,22,15,22,2,1,146.66
Royal Challengers Bangalore VS Rajasthan Royals,Shimron Hetmyer ,run out (Prabhudessai),3,9,30,0,0,33.33
Royal Challengers Bangalore VS Rajasthan Royals,Dhruv Jurel ,not out ,34,16,35,2,2,212.50
Royal Challengers Bangalore VS Rajasthan Royals,Ravichandran Ashwin ,c Prabhudessai b Patel,12,6,14,2,0,200.00
Royal Challengers Bangalore VS Rajasthan Royals,Abdul Basith ,not out ,1,1,2,0,0,100.00
Punjab Kings VS Mumbai Indians,Matthew Short ,c Chawla b Green,11,10,15,2,0,110.00
Punjab Kings VS Mumbai Indians,Prabhsimran Singh ,lbw b Tendulkar,26,17,37,1,2,152.94
Punjab Kings VS Mumbai Indians,Atharva Taide , b Chawla,29,17,38,3,1,170.58
Punjab Kings VS Mumbai Indians,Liam Livingstone ,st †Ishan Kishan b Chawla,10,12,12,0,1,83.33
Punjab Kings VS Mumbai Indians,Harpreet Singh , b Green,41,28,47,4,2,146.42
Punjab Kings VS Mumbai Indians,Sam Curran (c),c & b Archer,55,29,51,5,4,189.65
Punjab Kings VS Mumbai Indians,Jitesh Sharma †, b Behrendorff,25,7,12,0,4,357.14
Punjab Kings VS Mumbai Indians,M Shahrukh Khan ,not out ,0,0,6,0,0,-
Punjab Kings VS Mumbai Indians,Harpreet Brar ,run out (Tilak Varma/†Ishan Kishan),5,2,3,1,0,250.00
Punjab Kings VS Mumbai Indians,Rohit Sharma (c),c & b Livingstone,44,27,42,4,3,162.96
Punjab Kings VS Mumbai Indians,Ishan Kishan †,c Short b Arshdeep Singh,1,4,7,0,0,25.00
Punjab Kings VS Mumbai Indians,Cameron Green ,c Curran b Ellis,67,43,64,6,3,155.81
Punjab Kings VS Mumbai Indians,Suryakumar Yadav ,c Taide b Arshdeep Singh,57,26,42,7,3,219.23
Punjab Kings VS Mumbai Indians,Tim David ,not out ,25,13,34,0,2,192.30
Punjab Kings VS Mumbai Indians,Tilak Varma , b Arshdeep Singh,3,4,14,0,0,75.00
Punjab Kings VS Mumbai Indians,Nehal Wadhera , b Arshdeep Singh,0,1,2,0,0,0.00
Punjab Kings VS Mumbai Indians,Jofra Archer ,not out ,1,2,4,0,0,50.00
Gujarat Titans VS Lucknow Super Giants,Wriddhiman Saha †,c Hooda b Pandya,47,37,51,6,0,127.02
Gujarat Titans VS Lucknow Super Giants,Shubman Gill ,c Ravi Bishnoi b Pandya,0,2,9,0,0,0.00
Gujarat Titans VS Lucknow Super Giants,Hardik Pandya (c),c Rahul b Stoinis,66,50,89,2,4,132.00
Gujarat Titans VS Lucknow Super Giants,Abhinav Manohar ,c Naveen-ul-Haq b Mishra,3,5,7,0,0,60.00
Gujarat Titans VS Lucknow Super Giants,Vijay Shankar , b Naveen-ul-Haq,10,12,17,1,0,83.33
Gujarat Titans VS Lucknow Super Giants,David Miller ,c Hooda b Stoinis,6,12,28,0,0,50.00
Gujarat Titans VS Lucknow Super Giants,Rahul Tewatia ,not out ,2,2,4,0,0,100.00
Gujarat Titans VS Lucknow Super Giants,KL Rahul (c),c Yadav b Sharma,68,61,94,8,0,111.47
Gujarat Titans VS Lucknow Super Giants,Kyle Mayers , b Rashid Khan,24,19,31,2,1,126.31
Gujarat Titans VS Lucknow Super Giants,Krunal Pandya ,st †Saha b Noor Ahmad,23,23,36,2,1,100.00
Gujarat Titans VS Lucknow Super Giants,Nicholas Pooran †,c Pandya b Noor Ahmad,1,7,10,0,0,14.28
Gujarat Titans VS Lucknow Super Giants,Ayush Badoni ,run out (Shankar/Sharma),8,6,22,0,0,133.33
Gujarat Titans VS Lucknow Super Giants,Marcus Stoinis ,c Miller b Sharma,0,1,2,0,0,0.00
Gujarat Titans VS Lucknow Super Giants,Deepak Hooda ,run out (Rashid Khan/†Saha),2,2,4,0,0,100.00
Gujarat Titans VS Lucknow Super Giants,Prerak Mankad ,not out ,0,0,4,0,0,-
Gujarat Titans VS Lucknow Super Giants,Ravi Bishnoi ,not out ,0,1,1,0,0,0.00
Sunrisers Hyderabad VS Chennai Super Kings,Harry Brook ,c Gaikwad b Akash Singh,18,13,23,3,0,138.46
Sunrisers Hyderabad VS Chennai Super Kings,Abhishek Sharma ,c Rahane b Jadeja,34,26,43,3,1,130.76
Sunrisers Hyderabad VS Chennai Super Kings,Rahul Tripathi ,c Akash Singh b Jadeja,21,21,31,1,1,100.00
Sunrisers Hyderabad VS Chennai Super Kings,Aiden Markram (c),c †Dhoni b Theekshana,12,12,15,1,0,100.00
Sunrisers Hyderabad VS Chennai Super Kings,Heinrich Klaasen †,c Gaikwad b Pathirana,17,16,27,1,0,106.25
Sunrisers Hyderabad VS Chennai Super Kings,Mayank Agarwal ,st †Dhoni b Jadeja,2,4,6,0,0,50.00
Sunrisers Hyderabad VS Chennai Super Kings,Marco Jansen ,not out ,17,22,29,1,0,77.27
Sunrisers Hyderabad VS Chennai Super Kings,Washington Sundar ,run out (†Dhoni),9,6,14,1,0,150.00
Sunrisers Hyderabad VS Chennai Super Kings,Ruturaj Gaikwad ,run out (Umran Malik),35,30,50,2,0,116.66
Sunrisers Hyderabad VS Chennai Super Kings,Devon Conway ,not out ,77,57,84,12,1,135.08
Sunrisers Hyderabad VS Chennai Super Kings,Ajinkya Rahane ,c Markram b Markande,9,10,15,0,0,90.00
Sunrisers Hyderabad VS Chennai Super Kings,Ambati Rayudu , b Markande,9,9,11,1,0,100.00
Sunrisers Hyderabad VS Chennai Super Kings,Moeen Ali ,not out ,6,6,9,1,0,100.00
Kolkata Knight Riders VS Delhi Capitals,Jason Roy ,c Aman Hakim Khan b Kuldeep Yadav,43,39,74,5,1,110.25
Kolkata Knight Riders VS Delhi Capitals,Litton Das †,c Lalit Yadav b Mukesh Kumar,4,4,13,1,0,100.00
Kolkata Knight Riders VS Delhi Capitals,Venkatesh Iyer ,c Marsh b Nortje,0,2,9,0,0,0.00
Kolkata Knight Riders VS Delhi Capitals,Nitish Rana (c),c Mukesh Kumar b Sharma,4,7,11,1,0,57.14
Kolkata Knight Riders VS Delhi Capitals,Mandeep Singh , b Patel,12,11,16,0,1,109.09
Kolkata Knight Riders VS Delhi Capitals,Rinku Singh ,c Lalit Yadav b Patel,6,8,9,1,0,75.00
Kolkata Knight Riders VS Delhi Capitals,Sunil Narine ,c Warner b Sharma,4,6,6,1,0,66.66
Kolkata Knight Riders VS Delhi Capitals,Andre Russell ,not out ,38,31,49,1,4,122.58
Kolkata Knight Riders VS Delhi Capitals,Anukul Roy ,lbw b Kuldeep Yadav,0,1,2,0,0,0.00
Kolkata Knight Riders VS Delhi Capitals,Umesh Yadav ,c & b Nortje,3,5,5,0,0,60.00
Kolkata Knight Riders VS Delhi Capitals,Varun Chakravarthy ,run out (sub [YV Dhull]/†Salt),1,6,28,0,0,16.66
Kolkata Knight Riders VS Delhi Capitals,David Warner (c),lbw b Varun,57,41,58,11,0,139.02
Kolkata Knight Riders VS Delhi Capitals,Prithvi Shaw , b Varun,13,11,22,2,0,118.18
Kolkata Knight Riders VS Delhi Capitals,Mitchell Marsh ,c sub (D Wiese) b Rana,2,9,14,0,0,22.22
Kolkata Knight Riders VS Delhi Capitals,Phil Salt †,c & b AS Roy,5,3,6,1,0,166.66
Kolkata Knight Riders VS Delhi Capitals,Manish Pandey ,c Singh b AS Roy,21,23,34,2,0,91.30
Kolkata Knight Riders VS Delhi Capitals,Axar Patel ,not out ,19,22,37,1,0,86.36
Kolkata Knight Riders VS Delhi Capitals,Aman Hakim Khan , b Rana,0,2,4,0,0,0.00
Kolkata Knight Riders VS Delhi Capitals,Lalit Yadav ,not out ,4,7,21,0,0,57.14
Royal Challengers Bangalore VS Punjab Kings,Virat Kohli (c),c †Sharma b Harpreet Brar,59,47,72,5,1,125.53
Royal Challengers Bangalore VS Punjab Kings,Faf du Plessis ,c Curran b Ellis,84,56,78,5,5,150.00
Royal Challengers Bangalore VS Punjab Kings,Glenn Maxwell ,c Taide b Harpreet Brar,0,1,1,0,0,0.00
Royal Challengers Bangalore VS Punjab Kings,Dinesh Karthik †,c Taide b Arshdeep Singh,7,5,16,1,0,140.00
Royal Challengers Bangalore VS Punjab Kings,Mahipal Lomror ,not out ,7,9,15,1,0,77.77
Royal Challengers Bangalore VS Punjab Kings,Shahbaz Ahmed ,not out ,5,3,5,0,0,166.66
Royal Challengers Bangalore VS Punjab Kings,Atharva Taide ,lbw b Mohammed Siraj,4,2,5,1,0,200.00
Royal Challengers Bangalore VS Punjab Kings,Prabhsimran Singh , b Parnell,46,30,59,3,4,153.33
Royal Challengers Bangalore VS Punjab Kings,Matthew Short , b Hasaranga,8,7,9,0,1,114.28
Royal Challengers Bangalore VS Punjab Kings,Liam Livingstone ,lbw b Mohammed Siraj,2,4,7,0,0,50.00
Royal Challengers Bangalore VS Punjab Kings,Harpreet Singh ,run out (Mohammed Siraj),13,9,12,1,1,144.44
Royal Challengers Bangalore VS Punjab Kings,Sam Curran (c),run out (Hasaranga),10,12,18,1,0,83.33
Royal Challengers Bangalore VS Punjab Kings,Jitesh Sharma †,c Shahbaz Ahmed b Patel,41,27,48,2,3,151.85
Royal Challengers Bangalore VS Punjab Kings,M Shahrukh Khan ,st †Karthik b Hasaranga,7,5,9,0,1,140.00
Royal Challengers Bangalore VS Punjab Kings,Harpreet Brar , b Mohammed Siraj,13,13,22,1,0,100.00
Royal Challengers Bangalore VS Punjab Kings,Nathan Ellis , b Mohammed Siraj,1,2,5,0,0,50.00
Lucknow Super Giants VS Rajasthan Royals,KL Rahul (c),c Buttler b Holder,39,32,51,4,1,121.87
Lucknow Super Giants VS Rajasthan Royals,Kyle Mayers , b Ashwin,51,42,69,4,3,121.42
Lucknow Super Giants VS Rajasthan Royals,Ayush Badoni , b Boult,1,4,6,0,0,25.00
Lucknow Super Giants VS Rajasthan Royals,Deepak Hooda ,c Hetmyer b Ashwin,2,4,7,0,0,50.00
Lucknow Super Giants VS Rajasthan Royals,Marcus Stoinis ,c †Samson b Sandeep Sharma,21,16,31,2,0,131.25
Lucknow Super Giants VS Rajasthan Royals,Nicholas Pooran †,run out (†Samson),29,20,27,2,1,145.00
Lucknow Super Giants VS Rajasthan Royals,Krunal Pandya ,not out ,4,2,4,1,0,200.00
Lucknow Super Giants VS Rajasthan Royals,Yudhvir Singh ,run out (Hetmyer/†Samson),1,1,2,0,0,100.00
Lucknow Super Giants VS Rajasthan Royals,Yashasvi Jaiswal ,c Avesh Khan b Stoinis,44,35,60,4,2,125.71
Lucknow Super Giants VS Rajasthan Royals,Jos Buttler ,c Ravi Bishnoi b Stoinis,40,41,73,4,1,97.56
Lucknow Super Giants VS Rajasthan Royals,Sanju Samson (c)†,run out (Mishra/†Pooran),2,4,8,0,0,50.00
Lucknow Super Giants VS Rajasthan Royals,Devdutt Padikkal ,c †Pooran b Avesh Khan,26,21,36,4,0,123.80
Lucknow Super Giants VS Rajasthan Royals,Shimron Hetmyer ,c Rahul b Avesh Khan,2,5,12,0,0,40.00
Lucknow Super Giants VS Rajasthan Royals,Riyan Parag ,not out ,15,12,24,1,1,125.00
Lucknow Super Giants VS Rajasthan Royals,Dhruv Jurel ,c Hooda b Avesh Khan,0,1,2,0,0,0.00
Lucknow Super Giants VS Rajasthan Royals,Ravichandran Ashwin ,not out ,3,2,3,0,0,150.00
Mumbai Indians VS Sunrisers Hyderabad,Rohit Sharma (c),c Markram b Natarajan,28,18,22,6,0,155.55
Mumbai Indians VS Sunrisers Hyderabad,Ishan Kishan †,c Markram b Jansen,38,31,51,3,2,122.58
Mumbai Indians VS Sunrisers Hyderabad,Cameron Green ,not out ,64,40,75,6,2,160.00
Mumbai Indians VS Sunrisers Hyderabad,Suryakumar Yadav ,c Markram b Jansen,7,3,6,0,1,233.33
Mumbai Indians VS Sunrisers Hyderabad,Tilak Varma ,c Agarwal b Kumar,37,17,24,2,4,217.64
Mumbai Indians VS Sunrisers Hyderabad,Tim David ,run out (Abhishek Sharma/Natarajan),16,11,19,2,0,145.45
Mumbai Indians VS Sunrisers Hyderabad,Harry Brook ,c Yadav b Behrendorff,9,7,8,2,0,128.57
Mumbai Indians VS Sunrisers Hyderabad,Mayank Agarwal ,c David b Meredith,48,41,76,4,1,117.07
Mumbai Indians VS Sunrisers Hyderabad,Rahul Tripathi ,c †Ishan Kishan b Behrendorff,7,5,13,1,0,140.00
Mumbai Indians VS Sunrisers Hyderabad,Aiden Markram (c),c Shokeen b Green,22,17,26,1,1,129.41
Mumbai Indians VS Sunrisers Hyderabad,Abhishek Sharma ,c David b Chawla,1,2,5,0,0,50.00
Mumbai Indians VS Sunrisers Hyderabad,Heinrich Klaasen †,c David b Chawla,36,16,24,4,2,225.00
Mumbai Indians VS Sunrisers Hyderabad,Abdul Samad ,run out (Shokeen/†Ishan Kishan),9,12,34,1,0,75.00
Mumbai Indians VS Sunrisers Hyderabad,Marco Jansen ,c David b Meredith,13,6,11,3,0,216.66
Mumbai Indians VS Sunrisers Hyderabad,Washington Sundar ,run out (David),10,6,8,2,0,166.66
Mumbai Indians VS Sunrisers Hyderabad,Bhuvneshwar Kumar ,c Sharma b Tendulkar,2,5,16,0,0,40.00
Chennai Super Kings VS Royal Challengers Bangalore,Ruturaj Gaikwad ,c Parnell b Mohammed Siraj,3,6,12,0,0,50.00
Chennai Super Kings VS Royal Challengers Bangalore,Devon Conway , b Patel,83,45,73,6,6,184.44
Chennai Super Kings VS Royal Challengers Bangalore,Ajinkya Rahane , b Hasaranga,37,20,33,3,2,185.00
Chennai Super Kings VS Royal Challengers Bangalore,Shivam Dube ,c Mohammed Siraj b Parnell,52,27,35,2,5,192.59
Chennai Super Kings VS Royal Challengers Bangalore,Ambati Rayudu ,c †Karthik b Vyshak,14,6,11,1,1,233.33
Chennai Super Kings VS Royal Challengers Bangalore,Moeen Ali ,not out ,19,9,24,0,2,211.11
Chennai Super Kings VS Royal Challengers Bangalore,Ravindra Jadeja ,c Prabhudessai b Maxwell,10,8,17,0,1,125.00
Chennai Super Kings VS Royal Challengers Bangalore,MS Dhoni (c)†,not out ,1,1,2,0,0,100.00
Chennai Super Kings VS Royal Challengers Bangalore,Virat Kohli , b Akash Singh,6,4,3,1,0,150.00
Chennai Super Kings VS Royal Challengers Bangalore,Faf du Plessis (c),c †Dhoni b Ali,62,33,64,5,4,187.87
Chennai Super Kings VS Royal Challengers Bangalore,Mahipal Lomror ,c Gaikwad b Deshpande,0,5,7,0,0,0.00
Chennai Super Kings VS Royal Challengers Bangalore,Glenn Maxwell ,c †Dhoni b Theekshana,76,36,46,3,8,211.11
Chennai Super Kings VS Royal Challengers Bangalore,Shahbaz Ahmed ,c Gaikwad b Pathirana,12,10,29,0,1,120.00
Chennai Super Kings VS Royal Challengers Bangalore,Dinesh Karthik †,c Theekshana b Deshpande,28,14,15,3,1,200.00
Chennai Super Kings VS Royal Challengers Bangalore,Suyash Prabhudessai ,c Jadeja b Pathirana,19,11,20,0,2,172.72
Chennai Super Kings VS Royal Challengers Bangalore,Wayne Parnell ,c Dube b Deshpande,2,5,7,0,0,40.00
Chennai Super Kings VS Royal Challengers Bangalore,Wanindu Hasaranga ,not out ,2,2,10,0,0,100.00
Gujarat Titans VS Rajasthan Royals,Wriddhiman Saha †,c & b Boult,4,3,4,1,0,133.33
Gujarat Titans VS Rajasthan Royals,Shubman Gill ,c Buttler b Sandeep Sharma,45,34,70,4,1,132.35
Gujarat Titans VS Rajasthan Royals,Sai Sudharsan ,run out (Buttler/†Samson),20,19,23,2,0,105.26
Gujarat Titans VS Rajasthan Royals,Hardik Pandya (c),c Jaiswal b Chahal,28,19,22,3,1,147.36
Gujarat Titans VS Rajasthan Royals,David Miller ,c Hetmyer b Sandeep Sharma,46,30,43,3,2,153.33
Gujarat Titans VS Rajasthan Royals,Abhinav Manohar ,c Padikkal b Zampa,27,13,17,0,3,207.69
Gujarat Titans VS Rajasthan Royals,Rahul Tewatia ,not out ,1,1,10,0,0,100.00
Gujarat Titans VS Rajasthan Royals,Rashid Khan ,run out (Buttler/Sandeep Sharma),1,1,4,0,0,100.00
Gujarat Titans VS Rajasthan Royals,Alzarri Joseph ,not out ,0,0,2,0,0,-
Gujarat Titans VS Rajasthan Royals,Yashasvi Jaiswal ,c Shubman Gill b Pandya,1,7,9,0,0,14.28
Gujarat Titans VS Rajasthan Royals,Jos Buttler , b Mohammed Shami,0,5,14,0,0,0.00
Gujarat Titans VS Rajasthan Royals,Devdutt Padikkal ,c Sharma b Rashid Khan,26,25,38,2,2,104.00
Gujarat Titans VS Rajasthan Royals,Sanju Samson (c)†,c Miller b Noor Ahmad,60,32,61,3,6,187.50
Gujarat Titans VS Rajasthan Royals,Riyan Parag ,c Miller b Rashid Khan,5,7,10,0,0,71.42
Gujarat Titans VS Rajasthan Royals,Shimron Hetmyer ,not out ,56,26,44,2,5,215.38
Gujarat Titans VS Rajasthan Royals,Dhruv Jurel ,c Sharma b Mohammed Shami,18,10,19,2,1,180.00
Gujarat Titans VS Rajasthan Royals,Ravichandran Ashwin ,c Tewatia b Mohammed Shami,10,3,4,1,1,333.33
Gujarat Titans VS Rajasthan Royals,Trent Boult ,not out ,0,1,3,0,0,0.00
Kolkata Knight Riders VS Mumbai Indians,Rahmanullah Gurbaz †,c Jansen b Chawla,8,12,39,0,0,66.66
Kolkata Knight Riders VS Mumbai Indians,Narayan Jagadeesan ,c Shokeen b Green,0,5,12,0,0,0.00
Kolkata Knight Riders VS Mumbai Indians,Venkatesh Iyer ,c Jansen b Meredith,104,51,82,6,9,203.92
Kolkata Knight Riders VS Mumbai Indians,Nitish Rana (c),c sub (Ramandeep Singh) b Shokeen,5,10,13,0,0,50.00
Kolkata Knight Riders VS Mumbai Indians,Shardul Thakur ,c Tilak Varma b Shokeen,13,11,23,1,0,118.18
Kolkata Knight Riders VS Mumbai Indians,Rinku Singh ,c Wadhera b Jansen,18,18,32,2,0,100.00
Kolkata Knight Riders VS Mumbai Indians,Andre Russell ,not out ,21,11,18,3,1,190.90
Kolkata Knight Riders VS Mumbai Indians,Sunil Narine ,not out ,2,2,9,0,0,100.00
Kolkata Knight Riders VS Mumbai Indians,Rohit Sharma ,c Yadav b Suyash Sharma,20,13,25,1,2,153.84
Kolkata Knight Riders VS Mumbai Indians,Ishan Kishan †, b Varun,58,25,39,5,5,232.00
Kolkata Knight Riders VS Mumbai Indians,Suryakumar Yadav (c),c †Rahmanullah Gurbaz b Thakur,43,25,63,4,3,172.00
Kolkata Knight Riders VS Mumbai Indians,Tilak Varma , b Suyash Sharma,30,25,32,3,1,120.00
Kolkata Knight Riders VS Mumbai Indians,Tim David ,not out ,24,13,27,1,2,184.61
Kolkata Knight Riders VS Mumbai Indians,Nehal Wadhera ,c †Rahmanullah Gurbaz b Ferguson,6,4,7,1,0,150.00
Kolkata Knight Riders VS Mumbai Indians,Cameron Green ,not out ,1,1,3,0,0,100.00
Lucknow Super Giants VS Punjab Kings,KL Rahul (c),c sub (NT Ellis) b Arshdeep Singh,74,56,101,8,1,132.14
Lucknow Super Giants VS Punjab Kings,Kyle Mayers ,c Harpreet Singh b Harpreet Brar,29,23,34,1,3,126.08
Lucknow Super Giants VS Punjab Kings,Deepak Hooda ,lbw b Sikandar Raza,2,3,7,0,0,66.66
Lucknow Super Giants VS Punjab Kings,Krunal Pandya ,c Shahrukh Khan b Rabada,18,17,30,2,0,105.88
Lucknow Super Giants VS Punjab Kings,Nicholas Pooran †,c Shahrukh Khan b Rabada,0,1,5,0,0,0.00
Lucknow Super Giants VS Punjab Kings,Marcus Stoinis ,c †Sharma b Curran,15,11,22,0,2,136.36
Lucknow Super Giants VS Punjab Kings,Ayush Badoni ,not out ,5,6,17,0,0,83.33
Lucknow Super Giants VS Punjab Kings,Krishnappa Gowtham ,c Sikandar Raza b Curran,1,2,7,0,0,50.00
Lucknow Super Giants VS Punjab Kings,Yudhvir Singh ,c Shahrukh Khan b Curran,0,1,3,0,0,0.00
Lucknow Super Giants VS Punjab Kings,Ravi Bishnoi ,not out ,3,1,3,0,0,300.00
Lucknow Super Giants VS Punjab Kings,Atharva Taide ,c Avesh Khan b Yudhvir Singh,0,3,3,0,0,0.00
Lucknow Super Giants VS Punjab Kings,Prabhsimran Singh , b Yudhvir Singh,4,4,12,1,0,100.00
Lucknow Super Giants VS Punjab Kings,Matthew Short ,c Stoinis b Gowtham,34,22,30,5,1,154.54
Lucknow Super Giants VS Punjab Kings,Harpreet Singh ,c sub (PN Mankad) b Pandya,22,22,41,3,0,100.00
Lucknow Super Giants VS Punjab Kings,Sikandar Raza ,c Stoinis b Ravi Bishnoi,57,41,62,4,3,139.02
Lucknow Super Giants VS Punjab Kings,Sam Curran (c),c Pandya b Ravi Bishnoi,6,6,15,1,0,100.00
Lucknow Super Giants VS Punjab Kings,Jitesh Sharma †,c Rahul b Wood,2,4,10,0,0,50.00
Lucknow Super Giants VS Punjab Kings,M Shahrukh Khan ,not out ,23,10,26,1,2,230.00
Lucknow Super Giants VS Punjab Kings,Harpreet Brar ,c †Pooran b Wood,6,4,10,1,0,150.00
Lucknow Super Giants VS Punjab Kings,Kagiso Rabada ,not out ,0,1,4,0,0,0.00
Royal Challengers Bangalore VS Delhi Capitals,Virat Kohli ,c Dhull b Lalit Yadav,50,34,46,6,1,147.05
Royal Challengers Bangalore VS Delhi Capitals,Faf du Plessis (c),c Aman Hakim Khan b Marsh,22,16,21,3,1,137.50
Royal Challengers Bangalore VS Delhi Capitals,Mahipal Lomror ,c †Abishek Porel b Marsh,26,18,38,0,2,144.44
Royal Challengers Bangalore VS Delhi Capitals,Glenn Maxwell ,c Warner b Kuldeep Yadav,24,14,25,0,3,171.42
Royal Challengers Bangalore VS Delhi Capitals,Harshal Patel ,c †Abishek Porel b Patel,6,4,9,0,1,150.00
Royal Challengers Bangalore VS Delhi Capitals,Shahbaz Ahmed ,not out ,20,12,31,3,0,166.66
Royal Challengers Bangalore VS Delhi Capitals,Dinesh Karthik †,c Lalit Yadav b Kuldeep Yadav,0,1,2,0,0,0.00
Royal Challengers Bangalore VS Delhi Capitals,Anuj Rawat ,not out ,15,22,26,1,0,68.18
Royal Challengers Bangalore VS Delhi Capitals,David Warner (c),c Kohli b Vyshak,19,13,33,4,0,146.15
Royal Challengers Bangalore VS Delhi Capitals,Prithvi Shaw ,run out (Anuj Rawat),0,2,4,0,0,0.00
Royal Challengers Bangalore VS Delhi Capitals,Mitchell Marsh ,c Kohli b Parnell,0,4,7,0,0,0.00
Royal Challengers Bangalore VS Delhi Capitals,Yash Dhull ,lbw b Mohammed Siraj,1,4,6,0,0,25.00
Royal Challengers Bangalore VS Delhi Capitals,Manish Pandey ,lbw b Hasaranga,50,38,59,5,1,131.57
Royal Challengers Bangalore VS Delhi Capitals,Abishek Porel †,c Parnell b Patel,5,8,17,0,0,62.50
Royal Challengers Bangalore VS Delhi Capitals,Axar Patel ,c Mohammed Siraj b Vyshak,21,14,18,3,0,150.00
Royal Challengers Bangalore VS Delhi Capitals,Aman Hakim Khan ,c Kohli b Mohammed Siraj,18,10,27,1,1,180.00
Royal Challengers Bangalore VS Delhi Capitals,Lalit Yadav ,c Maxwell b Vyshak,4,7,10,0,0,57.14
Royal Challengers Bangalore VS Delhi Capitals,Anrich Nortje ,not out ,23,14,19,4,0,164.28
Sunrisers Hyderabad VS Kolkata Knight Riders,Harry Brook ,not out ,100,55,99,12,3,181.81
Sunrisers Hyderabad VS Kolkata Knight Riders,Mayank Agarwal ,c Varun b Russell,9,13,22,0,0,69.23
Sunrisers Hyderabad VS Kolkata Knight Riders,Rahul Tripathi ,c †Rahmanullah Gurbaz b Russell,9,4,6,2,0,225.00
Sunrisers Hyderabad VS Kolkata Knight Riders,Aiden Markram (c),c Russell b Varun,50,26,32,2,5,192.30
Sunrisers Hyderabad VS Kolkata Knight Riders,Abhishek Sharma ,c Thakur b Russell,32,17,28,3,2,188.23
Sunrisers Hyderabad VS Kolkata Knight Riders,Heinrich Klaasen †,not out ,16,6,13,2,1,266.66
Sunrisers Hyderabad VS Kolkata Knight Riders,Rahmanullah Gurbaz †,c Umran Malik b Kumar,0,3,3,0,0,0.00
Sunrisers Hyderabad VS Kolkata Knight Riders,Narayan Jagadeesan ,c sub (GD Phillips) b Markande,36,21,41,5,1,171.42
Sunrisers Hyderabad VS Kolkata Knight Riders,Venkatesh Iyer ,c Markram b Jansen,10,11,15,2,0,90.90
